old                                      new                                      ref
6fc817095f959e4ecc5a24e43ba16df2b709b728 16dfd342f46459b99dbe3a9c27813c61c41cedf3 refs/heads/run/dino-local-20260913
3ae01798ca5865aa5189f52ef4010c756fbdc764 86b8d286a7c7356ff55f6539171d6d87ce4a5ad1 refs/heads/run/dino-reconstruction-20260913
19082f167580f82325ab8b41aedca4f55947602c 5f671c09f4e393dc19631c211076b9f731362ff2 refs/heads/run/dino-residual-20260913
63927d39d7649f44bcd9cf93ab05837cb517f90a f2527ddd00bd41da1d1d04a7a0d3005e0e253105 refs/heads/run/finite-view-head-objective-20260914
edf293d8d6ce535157bccbd3325604ff25da9b3c 648b3c28140d4ca800dfa9564832d58a0759957e refs/heads/run/fsl-pets-transfer-20260913
c7db5deb549c1602dd2406a620beb23bbf0be7fa ca30ad8f3ab9207c8429bfdc0be5f4a8f23dea00 refs/heads/run/gallery-density-20260913
1febb63af3fb73ee80a91344b75cc31f9fb89fc2 522f587572a9bda3cbc02ccde9949fa0e74c9063 refs/heads/run/learned-aggregation-order-20260913
6a987b2a2c5dd961f56c9c636860c035f2ece689 d6aebb08258cffd9974744422b649d4c6b88240e refs/heads/run/oslo-gallery-pets-20260913
6c19b33691012fa1c60bca7416428a639ccc1030 7d26cddb7020dd468e48172200881d700a523d4c refs/heads/run/prior-calibration-qualification-20260913
693e966b8d59bd1be2a436ceddc35d531b335e27 e3853c338c4eb4ef5874f0eac82eba23a2ffa96d refs/heads/run/query-competence-20260913
6c7ff39f59e52f64dd92af41e8e1eb6c432a75bf 1e4b15e4b9288a7a13ad7bb00bb3113e4a081e24 refs/heads/run/query-consistency-20260913
63afce14d483cef6917aeda9cd34696ae52e12fc 8a3beac2c3283da1eded11dccb390253d51bf5b3 refs/heads/run/r2-fusion-stage-canonical-20260912
6790eec346944139315ea1fdb51ea985bd93fb4d c712fe1a36d37b76705dd97947c092a3341d908d refs/heads/run/r2-geometry-canonical-20260912
242cb5e00b1cd9af38b105c797ad9b0bcceb14d3 5bfded0bb59fbb4c3bd31a042a7783e1095e6e3c refs/heads/run/r2-logloss-canonical-20260912
b20b3068a2ffcd2ed6c2706d483d0886abbb29e8 56004c28e91d1622cb48ff8c5f8ea8bda7bc1013 refs/heads/run/r2-ownership-canonical-20260912
810f904306f6982970fae660af12f33408869c19 985e4fdbdfaecc471e384b1eed721e25e12e2961 refs/heads/run/r2-prevalidation-canonical-20260912
c7ca0dcbcc030dbb125486e83ac97ad61fc50b53 db4cacc20f158afa43208e224692d1ad718b6771 refs/heads/run/r2-residual-canonical-20260912
4eb9e67731835f55b5866858f3048a2b08017d2d 335db95bbfcbc4e3a53164d88cb7da85d4a8acea refs/heads/run/r4-transport-geometry-20260913
898760f9c31cb16dc41ddd9727ac19e36ecb192a 379fecd57f976df779de7d523f11dd2f54100842 refs/heads/run/reduced-view-efficiency-20260913
1f2db6cdb6ef1cf92eb920cf08d2fe4eae5166c8 e6725ea3a78b69872b0e5c351cdeedf2d6d52b56 refs/heads/run/representation-scatter-20260913
4ba56fe0ca93cce10638f50f5d9a2aa34bf263d7 3019cadd01cac144c82d546e96174c27f174d5ab refs/heads/run/scatter-centering-stack-20260913
db00de9b807a22ae313b8e732d73a4499f25c314 f9b329b4f4dc76b6d47e2325be3da02b0f4ea1e2 refs/heads/run/scatter-score-fusion-20260913
0d57db53e62cc64082bc133625e9cec610109468 265f2b4fa66b8956341e3a55dc12212cf4e3d7cf refs/heads/run/source-composition-20260913
c97549cebc8610b9e078ebd2d1fd51fc2028a61e f58dce873883393d3042b7757e12a07ba3a29833 refs/heads/run/source-coverage-factorial-20260913
9b0b0b6a6bd285c5a2b7a8dc4c62e8e8b7684391 e24cfdbdae1bf7f44b69a7233dbc662acae5f2f9 refs/heads/run/source-diversity-assets-20260913
60106b33e93e12a17c8166a19191a5ab1e6e458a 34bca02ba92c3e1def1a0e1ad3af4f7324cdbc58 refs/heads/run/source-group-objective-20260914
520105562d3812e3bd8e47835b3b7cba2157d235 fb7b52835fa837d384d6e9e8e8630f757a97da43 refs/heads/run/support-risk-selection-20260913
299077f0933e78c27907bc0fbe8c717ecc550af7 e3e9d5870db764aae1b5699c59ba415d6200af04 refs/heads/run/task-local-mask-20260913
e882ccbdb6713ff8446c7bc925258f50c672b753 0501c0730132dcdd5ee808c6e93c38a5186d412b refs/heads/run/utility-composition-qualification-20260913
c400cba787bd6fafb5f5ece6710f6a032cd11ab2 8f09e36adb8a8f4fa906fb49ae0f46e8b07f407b refs/heads/run/view-distribution-kernel-20260913
